Start,End,Label,Start Sample,End Sample,len,mean,std,rms,mav,iEMG,wl,zcr,spec_entropy,median_freq,skew,kurtosis,file
0.196182,0.206489,Fibrillation,2162.9139566395665,2276.55216802168,114,-0.21271287,0.0023675517,0.21272607,0.21271287,24.249268,0.065801084,0,1.8888034,386.84210526315786,-0.1722928573517649,-0.4863046503892541,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.285169,0.294445,Fibrillation,3143.990514905149,3246.264905149052,103,-0.2650896,0.0042291386,0.2651233,0.2650896,27.30423,0.06717995,0,1.8625695,214.07766990291265,0.2695844342058256,-0.9411500275823969,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.29101,0.298912,PSW,3208.3855013550137,3295.508130081301,87,-0.2565657,0.0039520683,0.25659612,0.2565657,22.321215,0.057687283,0,1.4078137,253.44827586206893,-0.2244674782822441,-1.099130658086233,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.018209,0.028173,PSW,200.76084010840108,310.6111111111111,110,-0.15822984,0.005827323,0.15833713,0.15822984,17.405283,0.097624704,0,2.2873027,400.9090909090909,2.7860067649212548,9.873137073866353,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.047413,0.057033,PSW,522.7357723577236,628.7981029810298,106,-0.16884299,0.0032991422,0.16887522,0.16884299,17.897356,0.056374356,0,1.9256816,208.01886792452828,-0.9488155854410596,-0.0158933119626518,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.384463,0.393739,PSW,4238.705284552845,4340.979674796748,102,-0.16460676,0.001973881,0.16461858,0.16460676,16.78989,0.0558791,0,2.4049757,1080.8823529411764,-0.3659280710332633,0.6457304941667674,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.406452,0.421912,PSW,4481.133468834689,4651.590785907859,170,-0.15789537,0.0046057855,0.15796252,0.15789537,26.842213,0.09474985,0,2.228613,389.11764705882354,-0.4602690768877823,-0.0177416970792561,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.46967,0.475167,PSW,5178.114498644986,5238.721544715447,60,-0.18202704,0.0013371359,0.18203197,0.18202704,10.921622,0.034087032,0,2.4077332,2204.9999999999995,-0.070444770473744,-0.3556049617531056,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.433938,0.441153,PSW,4784.168699186992,4863.715447154472,79,-0.15392803,0.0013089892,0.15393358,0.15392803,12.160315,0.04502909,0,2.8882208,2512.025316455696,0.0814644538860366,-0.0264134984286079,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.446306,0.453522,PSW,4920.534552845528,5000.081300813008,80,-0.16053009,0.0017871517,0.16054003,0.16053009,12.842407,0.044948444,0,1.9423157,551.25,-0.1129249424776702,-0.7968787892764424,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.544226,0.552472,PSW,6000.09756097561,6091.008130081301,91,-0.15877672,0.003939978,0.15882559,0.15877672,14.448681,0.046957612,0,1.1527703,242.3076923076923,0.0850618665667171,-1.343703287009381,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.564497,0.572056,PSW,6223.586043360434,6306.920731707317,83,-0.13683678,0.002724897,0.1368639,0.13683678,11.357452,0.045502424,0,1.1689832,265.66265060240966,0.434529321262136,-0.4730541248916804,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.580302,0.592327,PSW,6397.831300813008,6530.409214092141,133,-0.11142299,0.015384396,0.11248006,0.11142299,14.819258,0.21348989,0,1.509536,165.78947368421052,1.783237561822038,3.7043488760413856,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.642833,0.652453,PSW,7087.236449864498,7193.298780487805,106,-0.015452343,0.0034777378,0.015838863,0.015452343,1.6379484,0.060258996,0,1.7917764,208.01886792452828,-0.683132228554738,-0.9069794913511808,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.746593,0.757931,PSW,8231.194444444445,8356.19647696477,125,-0.024340238,0.0033004687,0.024562987,0.024340238,3.0425298,0.06081816,0,2.1070325,176.4,-0.4967952155898618,-0.2781505441636813,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.825959,0.832831,PSW,9106.20867208672,9181.967479674797,75,-0.088890664,0.02476728,0.092276596,0.088890664,6.6668,0.09030323,0,0.43999565,294.0,-0.3893206850901572,-1.1676054671119307,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.837298,0.846574,PSW,9231.210704607043,9333.485094850948,102,-0.012633145,0.0065501714,0.014230289,0.012633145,1.2885808,0.04934911,0,1.0941918,216.17647058823528,-0.9973660479351564,0.0362094921740041,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.889521,0.897767,PSW,9806.977642276424,9897.888211382113,91,-0.008468819,0.0012567276,0.008561556,0.008468819,0.7706625,0.06438177,0,2.7097528,1938.4615384615383,-0.1441922681289407,-0.1555776571602245,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.9201,0.931094,PSW,10144.10433604336,10265.31842818428,121,-0.015396208,0.0019848333,0.015523618,0.015396208,1.8629411,0.07438527,0,2.5321236,546.6942148760331,-0.1657237481960548,-0.0162737814768334,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.016031,1.029087,PSW,11201.743902439024,11345.685636856368,144,-0.050195683,0.0023381112,0.05025011,0.050195683,7.2281785,0.10063867,0,2.1876416,153.125,-0.1641900084429469,-0.5445358531216846,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.03424,1.046266,PSW,11402.504742547426,11535.082655826558,133,-0.05660176,0.005650925,0.05688314,0.05660176,7.5280337,0.09784041,0,1.4618008,331.57894736842104,1.2606818203478978,0.5500975067389278,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.08028,1.093679,PSW,11910.088753387534,12057.818428184282,147,-0.06357605,0.003391962,0.06366647,0.06357605,9.345679,0.08447687,0,2.2612417,150.0,0.1586317209179522,-0.9033171448663802,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.167548,1.179917,PSW,12872.225609756097,13008.591463414634,136,-0.101935335,0.03494457,0.10775869,0.101935335,13.863206,0.38963306,0,2.0400534,324.2647058823529,-0.9179608310564285,0.0591218546786884,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.227674,1.239356,PSW,13535.11517615176,13663.90514905149,128,-0.062246364,0.0029182443,0.062314734,0.062246364,7.9675345,0.04962734,0,1.1530677,172.265625,0.0652818842836765,-1.3900725468337938,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
1.242105,1.259627,PSW,13694.20867208672,13887.393631436316,193,-0.065599374,0.0017266677,0.06562209,0.065599374,12.66068,0.1141517,0,3.0607793,685.4922279792745,-0.6029205535991944,0.4181820797185991,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
